pH,MO,fosforo,azufre,calcio,magnesio,potasio,CIC,CE,anios_est,IPS
6.52,1.301,11.5,12.91,15.38,11.69,0.553,29.54,0.361,0.5,84
5.48,2.59,4.05,9.12,3.12,0.61,0.33,4.71,0.14,0.5,51
5.19,1.83,1.935,8.46,2.98,0.65,0.13,4.67,0.21,3.0,45
7.35,1.58,74.06,8.781,9.659,3.7,0.32,13.96,0.373,3.0,79
4.36,5.986,4.199,54.89,0.646,0.251,0.142,3.507,0.347,0.5,40
5.56,3.57,8.31,5.33,3.52,1.54,0.22,5.4,0.17,15.0,65
6.35,0.749,4.404,7.055,4.521,2.338,0.174,7.756,0.387,0.5,67
5.29,8.195,2.58,29.09,1.527,0.481,0.124,2.743,0.161,0.5,50
5.09,1.45,26.58,2.69,2.13,0.53,0.045,4.19,0.21,0.5,51
6.56,3.38,2.66,2.13,5.71,0.55,0.045,6.37,0.09,7.5,61
5.1,1.55,6.18,4.56,3.76,1.04,0.1,5.45,0.27,15.0,53
7.89,4.148,2.109,2.755,15.5,0.071,0.262,15.86,0.564,3.0,61
5.73,1.47,8.55,2.15,3.29,0.66,0.31,4.32,0.17,15.0,56
5.58,1.34,15.43,4.71,4.93,1.06,0.12,6.21,0.22,0.5,64
4.88,3.477,2.392,6.011,1.385,0.98,0.238,9.706,0.161,0.5,48
5.61,6.382,12.93,4.251,3.968,1.274,0.188,5.464,0.237,3.0,72
4.47,4.931,57.02,40.94,12.13,0.534,0.473,16.09,0.285,3.0,69
6.17,3.079,326.9,2.121,13.81,3.577,0.473,17.89,0.159,15.0,91
6.08,1.53,11.38,6.202,5.9,0.88,0.13,7.02,0.22,0.5,60
6.42,1.03,14.23,2.14,11.64,4.85,0.32,16.95,0.12,0.5,82
5.38,12.51,70.73,24.26,2.96,0.32,0.17,5.43,0.38,0.5,71
5.57,3.177,25.12,21.96,9.14,2.231,0.279,11.95,0.339,0.5,83
8.42,1.35,1.935,19.99,23.47,5.208,0.42,29.37,0.881,0.5,62
5.62,5.83,20.77,6.49,5.59,1.47,0.7,7.87,0.3,0.5,83
5.2,8.09,8.73,6.99,0.63,0.22,0.22,1.97,0.27,0.5,53
7.06,1.45,18.58,8.73,9.48,1.86,0.19,11.65,0.23,0.5,68
4.98,5.55,6.44,6.93,0.24,0.19,0.19,3.45,0.13,0.5,48
6.21,2.22,75.26,65.37,14.71,7.76,0.78,23.8,2.5,0.5,81
5.92,7.425,99.77,203.9,10.82,2.528,0.432,13.85,9.939,0.5,84
5.54,5.223,4.042,6.605,3.968,1.48,0.214,5.717,0.174,0.5,69
8.48,2.011,24.86,8.049,30.57,1.599,0.172,32.49,0.328,0.5,64
6.72,1.645,11.33,2.5,11.31,2.733,0.121,14.3,0.102,0.5,73
5.57,4.942,2.991,8.021,10.85,5.736,0.367,17.01,0.277,3.0,83
4.68,1.26,1.935,5.72,0.75,0.1,0.1,7.82,0.15,0.5,41
5.31,1.39,12.64,6.29,3.31,1.57,0.17,5.45,0.17,0.5,59
4.4,3.457,4.292,4.464,0.25,0.1,0.174,7.459,0.161,0.5,43
5.43,3.332,15.19,12.11,2.046,0.627,0.153,3.193,0.248,0.5,55
6.41,1.281,19.97,5.582,4.41,1.588,0.114,6.264,0.247,0.5,64
4.84,1.91,1.935,5.08,0.93,0.44,0.09,4.9,0.17,0.5,37
6.05,0.493,4.933,2.63,0.958,0.435,0.101,1.594,0.035,0.5,47
6.41,3.15,6.05,5.4,15.16,10.82,0.17,26.28,0.22,3.0,80
4.32,1.38,4.4,5.71,0.44,0.13,0.09,3.99,0.22,3.0,32
6.94,3.26,228.36,19.7,18.05,2.44,0.5,21.06,0.64,0.5,89
6.44,0.98,5.71,2.89,7.39,3.64,0.26,11.87,0.17,0.5,71
5.57,16.48,95.93,78.4,14.19,1.515,0.648,16.77,2.228,0.5,89
5.59,2.534,4.056,6.328,8.804,5.254,0.192,14.4,0.42,0.5,73
5.24,12.56,4.211,2.851,0.149,0.39,0.118,1.307,0.287,0.5,53
5.03,9.871,13.9,9.0,1.579,0.597,0.432,4.13,0.59,0.5,57
5.28,1.55,2.56,1.19,1.9,1.15,0.18,10.91,0.06,0.5,57
4.92,2.0,0.645,5.04,1.44,1.15,0.24,11.62,0.09,0.5,52
5.73,2.346,6.573,3.735,4.947,1.512,0.169,6.73,0.145,0.5,64
4.95,2.69,1.61,19.29,0.27,0.13,0.045,4.31,0.08,0.5,37
6.38,2.417,3.088,7.322,16.06,12.45,0.624,29.32,0.43,0.5,81
5.96,5.96,33.3,9.005,22.36,4.773,0.9,28.4,0.324,0.5,95
5.79,0.19,13.32,4.21,0.76,0.27,0.045,1.13,0.05,0.5,50
8.01,2.122,18.8,4.57,9.659,3.844,0.259,13.9,0.223,0.5,51
5.099,0.93,1.935,2.064,0.564,0.32,0.045,4.324,0.047,0.5,42
5.75,8.79,21.4,12.09,7.2,1.47,0.27,9.02,0.3,3.0,78
5.39,11.64,195.5,4.384,9.822,0.939,0.909,14.35,0.404,0.5,85
5.42,0.459,2.887,5.328,8.386,4.626,0.144,13.46,0.093,15.0,65
5.9,1.97,3.87,22.83,3.11,0.65,0.045,3.89,0.2,0.5,50
6.13,1.84,1.935,3.621,18.81,12.23,0.613,32.0,0.255,0.5,81
4.6,2.41,31.24,6.202,2.32,0.84,0.38,6.52,0.223,3.0,46
5.9,4.98,174.7,6.783,8.371,1.882,1.899,12.25,0.507,0.5,85
4.82,1.59,1.935,2.8,0.88,0.26,0.045,4.81,0.1,0.5,37
4.519,2.662,14.33,3.965,1.388,0.278,0.128,4.459,0.19,0.5,40
4.51,2.061,0.624,3.955,0.343,0.102,0.115,2.665,0.116,0.5,37
7.66,1.22,12.16,3.86,14.67,6.29,0.42,21.47,0.21,3.0,72
4.82,5.11,7.8,6.89,4.39,0.76,0.18,9.99,0.26,0.5,58
6.1,6.263,17.02,4.036,9.135,1.727,1.152,12.07,0.585,0.5,84
4.89,1.95,1.7,3.14,0.6,0.28,0.045,5.8,0.08,0.5,41
4.96,0.888,1.935,2.199,0.25,0.1,0.045,12.09,0.033,0.5,45
4.809,9.742,3.96,7.923,1.235,0.462,0.8,2.877,2.115,7.5,45
4.25,11.93,2.5,8.79,0.21,0.16,0.11,4.3,0.58,0.5,41
5.64,3.46,24.58,28.15,13.34,3.46,0.73,17.76,0.31,0.5,91
7.83,7.314,3.587,4.558,54.22,0.861,0.406,55.65,0.654,0.5,68
6.46,1.19,15.04,332.64,14.46,7.9,0.44,25.3,5.87,0.5,74
6.01,14.29,8.403,29.81,5.79,1.84,1.48,9.37,0.85,3.0,76
4.56,2.98,1.66,3.71,1.57,0.5,0.26,4.46,0.24,15.0,40
6.38,1.159,41.47,3.302,2.658,1.85,0.045,4.639,0.063,0.5,62
4.76,3.444,25.27,3.69,1.814,0.477,0.093,9.915,0.198,15.0,51
5.38,19.4,84.89,13.23,2.921,0.591,0.517,7.326,0.516,0.5,74
4.79,4.31,5.04,5.34,0.86,0.29,0.27,15.55,0.12,0.5,55
5.019,20.92,22.58,15.23,0.568,0.144,0.513,4.647,0.198,7.5,67
4.33,6.05,8.403,9.58,1.8,0.77,0.34,14.64,0.42,3.0,52
6.84,2.1,176.7,19.6,4.752,2.074,1.664,8.765,1.12,0.5,75
5.47,15.68,34.41,11.16,4.02,0.91,0.28,6.63,0.27,0.5,72
5.08,3.116,6.323,6.544,2.677,0.593,0.197,3.701,1.037,0.5,47
4.91,2.74,2.38,1.39,0.35,0.15,0.11,3.22,0.07,15.0,37
6.88,3.98,25.23,3.51,9.86,1.14,1.12,12.03,0.33,0.5,85
6.05,5.02,5.38,11.06,1.36,0.29,0.58,2.27,0.14,0.5,63
8.05,5.65,6.55,9.11,72.28,3.1,0.83,76.34,0.69,0.5,72
4.4,2.321,12.72,4.849,0.878,0.273,0.09,3.158,0.447,0.5,35
4.79,14.49,16.25,10.27,0.68,0.32,0.12,4.8,0.35,0.5,51
5.06,2.83,0.645,2.74,0.37,0.17,0.1,4.39,0.06,0.5,42
7.17,3.292,53.51,89.22,2.577,0.596,0.144,3.578,2.541,0.5,49
5.53,2.14,29.04,3.44,5.35,0.52,0.14,6.11,0.21,0.5,63
4.86,5.84,16.74,10.12,2.31,0.86,0.47,7.02,0.24,7.5,61
6.83,2.76,19.2,8.031,6.477,2.097,0.307,8.919,0.424,0.5,73
4.69,4.88,238.3,65.09,4.512,0.419,0.685,8.242,0.481,0.5,67
4.94,1.66,4.67,1.55,4.29,1.04,0.12,6.37,0.21,3.0,51
6.05,9.774,2.189,3.315,4.642,1.418,0.352,6.467,0.093,0.5,75
5.47,1.817,2.921,3.772,4.867,0.4,0.188,5.478,0.085,0.5,55
4.58,2.052,4.026,3.96,0.36,0.217,0.045,2.631,0.107,0.5,37
5.94,5.45,1.64,3.22,10.24,3.77,0.42,14.47,0.21,0.5,84
5.17,1.516,10.1,1.909,7.294,0.1,0.045,9.376,0.194,7.5,55
7.91,1.58,42.48,210.0,26.91,1.332,0.117,28.46,2.097,0.5,60
6.55,0.97,1.935,3.63,5.8,1.41,0.2,7.5,0.17,0.5,64
5.87,0.947,2.112,3.333,7.525,2.713,0.045,10.31,0.053,15.0,68
6.87,2.582,14.11,4.697,16.69,2.898,0.467,20.1,0.31,0.5,82
5.31,14.3,8.487,9.754,4.415,0.984,0.427,6.951,0.478,0.5,69
6.41,1.15,1.935,0.45,24.86,13.4,0.41,39.11,0.15,0.5,79
4.3,10.91,1.894,9.803,1.385,0.339,0.14,6.274,0.393,0.5,47
7.95,3.9,35.01,12.19,65.78,3.57,1.22,70.72,0.59,0.5,79
4.51,1.63,1.935,11.97,0.56,0.22,0.14,5.13,0.13,0.5,41
4.69,3.758,6.582,4.503,2.721,0.288,0.32,7.336,0.231,0.5,54
4.72,12.66,30.41,10.55,5.28,0.77,0.43,11.43,0.55,0.5,72
4.67,2.705,1.935,2.228,0.25,0.1,0.045,3.956,0.09,3.0,37
5.84,3.608,1.935,11.38,2.712,1.116,0.648,4.618,0.059,0.5,66
9.44,2.12,40.91,57.04,28.34,1.12,3.08,35.34,1.39,3.0,66
5.05,3.778,6.626,10.97,3.07,1.48,0.428,5.235,0.207,3.0,63
5.73,4.871,7.757,2.761,9.745,2.729,0.451,13.06,0.254,0.5,80
5.65,9.817,1.935,3.913,5.187,1.371,0.215,6.914,0.299,3.0,72
5.8,8.313,54.3,11.29,7.495,1.231,0.135,9.026,0.277,7.5,77
7.14,5.322,130.9,6.185,10.67,4.132,0.32,15.18,0.232,0.5,90
6.05,2.567,4.591,4.963,21.3,1.856,0.282,23.71,0.267,0.5,73
6.66,2.0,56.89,8.22,5.3,2.18,0.37,7.93,0.14,0.5,78
4.519,3.571,75.27,19.23,2.362,1.089,0.495,9.302,0.469,0.5,66
5.45,14.93,26.66,30.44,5.568,1.089,0.261,7.106,0.442,7.5,76
5.03,12.41,2.667,5.848,0.592,0.226,0.163,1.671,0.33,7.5,56
5.91,3.375,7.341,2.881,3.294,0.1,0.045,3.634,0.063,0.5,54
5.24,3.878,4.789,3.091,1.723,0.537,0.157,3.44,0.179,0.5,49
4.08,7.28,23.71,12.81,0.82,0.46,0.37,7.9,0.87,0.5,54
5.64,8.71,4.66,9.01,3.49,1.05,0.8,5.44,0.22,0.5,74
5.08,2.166,7.651,2.925,0.861,0.123,0.045,1.518,0.089,0.5,42
5.56,4.432,1.935,15.34,10.08,3.79,1.029,15.04,0.731,0.5,83
4.9,6.15,3.51,19.7,1.35,0.39,0.25,5.06,0.3,0.5,52
6.34,3.31,62.35,9.88,5.64,1.38,0.5,7.64,0.72,0.5,77
4.74,8.793,36.7,15.3,1.558,0.824,0.364,5.386,0.228,0.5,61
4.91,9.505,179.4,23.74,1.641,0.341,0.185,4.981,0.387,0.5,56
6.32,1.84,8.19,6.53,8.15,4.59,0.14,13.09,0.16,0.5,70
6.91,4.33,30.55,6.19,13.52,2.08,0.43,16.14,0.25,0.5,89
4.49,1.388,175.1,14.51,1.503,1.028,0.32,3.478,0.282,3.0,50
4.54,2.21,2.11,6.86,1.4,0.59,0.13,4.11,0.48,0.5,37
5.41,11.39,68.65,9.005,8.522,0.786,1.326,11.85,0.456,0.5,85
7.7,7.744,12.59,10.95,5.01,1.099,0.295,6.507,0.76,0.5,63
4.55,0.64,19.65,10.16,0.56,0.31,0.22,3.78,0.62,0.5,41
4.69,2.749,3.282,2.536,0.53,0.267,0.128,5.438,0.035,0.5,41
5.19,5.6,3.7,4.74,0.92,0.64,0.59,6.25,0.15,0.5,62
5.41,18.34,53.93,5.13,4.36,0.8,0.5,7.17,0.3,0.5,77
5.55,3.651,74.02,4.311,2.084,0.332,0.045,2.734,0.164,3.0,62
4.67,10.76,1.98,8.802,0.399,0.102,0.14,3.082,0.217,0.5,48
5.019,1.882,1.935,6.139,5.144,2.56,0.151,9.756,0.179,0.5,62
4.42,2.837,5.581,7.205,3.923,1.11,0.224,8.723,0.439,0.5,46
5.22,2.814,14.95,6.135,4.193,1.171,0.131,6.341,0.277,0.5,59
5.24,1.81,10.98,2.1,1.98,0.49,0.22,3.53,0.12,15.0,48
5.58,14.0,5.81,15.64,2.57,0.33,0.22,3.2,0.22,3.0,64
6.06,9.953,6.488,2.315,10.01,2.751,0.106,13.08,0.175,7.5,78
5.6,5.216,20.93,21.52,9.17,1.754,1.01,12.41,0.383,0.5,89
6.02,1.1,20.15,3.48,14.04,5.05,0.27,19.47,0.17,0.5,82
6.03,6.701,78.57,3.371,7.487,1.47,0.345,9.341,0.581,15.0,81
4.92,17.21,8.403,6.202,15.87,3.47,3.89,24.23,0.223,0.5,70
8.11,3.201,44.64,14.32,16.97,1.151,0.274,18.45,0.531,0.5,68
5.66,1.95,5.55,2.98,2.97,0.18,0.045,3.26,0.09,0.5,50
7.41,1.328,6.409,13.96,20.34,19.06,0.267,42.31,0.787,0.5,69
5.38,8.247,4.672,3.477,1.174,0.417,0.129,2.575,0.099,0.5,50
5.45,12.85,1.935,8.46,6.43,2.03,0.25,9.41,0.35,0.5,73
6.55,1.71,1.935,4.743,17.87,7.635,0.296,26.24,0.208,0.5,76
5.48,3.724,1.935,8.237,7.074,5.913,0.106,13.57,0.099,0.5,67
5.15,2.45,12.81,6.78,2.06,0.72,0.13,3.82,0.13,0.5,48
4.769,15.6,16.45,5.664,2.877,0.936,0.644,9.181,0.318,0.5,66
5.39,2.48,20.49,5.59,3.12,0.5,0.15,4.77,0.22,0.5,51
6.66,1.762,16.45,18.66,20.07,6.993,0.681,27.85,1.34,0.5,79
4.74,11.41,7.921,11.97,1.108,0.651,0.301,3.967,0.562,3.0,52
4.54,1.17,4.43,2.26,0.62,0.3,0.1,3.59,0.1,0.5,37
6.41,4.195,369.4,12.11,18.52,1.749,0.741,21.81,3.88,0.5,82
8.25,3.26,226.52,10.25,59.36,5.45,1.82,63.15,0.7,0.5,76
4.13,14.66,32.59,9.832,2.177,0.74,0.252,6.324,1.323,0.5,54
5.22,4.646,5.834,4.602,3.743,0.668,0.182,5.444,0.095,0.5,56
8.25,2.09,35.3,19.65,8.236,1.727,0.492,10.59,0.381,0.5,64
4.99,2.34,1.33,6.09,0.93,0.14,0.045,2.52,0.1,0.5,37
4.88,5.53,2.21,27.24,0.5,0.21,0.12,3.18,0.14,0.5,45
5.31,17.53,14.38,2.704,3.04,0.773,1.006,6.845,0.319,0.5,71
5.62,9.62,12.1,6.77,4.61,1.44,0.6,6.69,0.24,3.0,80
5.51,14.43,21.73,37.87,9.89,4.392,1.452,15.83,0.351,7.5,98
6.84,3.402,29.44,10.62,5.714,0.824,0.358,7.26,0.389,0.5,73
7.75,2.892,80.31,6.869,13.73,2.841,1.274,18.15,0.335,0.5,79
4.73,37.49,6.52,129.6,20.42,3.397,1.464,26.9,3.476,0.5,74
5.36,11.09,83.78,35.62,10.01,1.72,1.5,13.7,1.55,0.5,84
5.3,2.517,1.935,3.75,1.961,1.629,0.103,4.498,0.136,0.5,46
7.01,3.805,395.1,6.609,14.78,0.796,0.743,16.42,0.374,15.0,81
4.69,0.88,0.645,2.11,1.85,0.66,0.12,7.47,0.21,0.5,41
4.71,7.525,5.068,6.153,3.754,1.744,0.424,10.8,0.323,0.5,66
8.15,5.99,54.75,20.61,42.76,5.691,0.952,49.71,0.62,0.5,80
6.75,5.376,36.02,7.379,13.44,6.908,0.476,21.05,0.653,0.5,91
5.03,2.97,11.68,8.847,1.314,0.503,0.121,3.011,0.15,0.5,45
5.9,2.6,6.41,19.82,13.28,6.66,0.16,20.17,0.24,0.5,76
5.34,1.23,3.398,4.324,3.015,0.666,0.045,4.704,0.105,0.5,45
5.67,3.942,29.76,1.428,5.324,1.578,0.366,7.369,0.151,0.5,77
5.57,2.05,22.35,3.19,4.89,0.94,0.36,6.24,0.17,0.5,69
5.54,0.49,35.53,3.69,0.678,0.125,0.097,1.01,0.11,0.5,53
5.0,0.94,14.96,2.28,1.37,0.3,0.1,3.53,0.13,3.0,45
6.91,2.26,26.43,22.22,5.373,1.29,0.442,7.265,0.608,0.5,71
4.84,5.844,14.64,8.681,1.001,0.262,0.198,5.002,0.161,0.5,55
5.04,17.97,3.123,8.083,3.316,0.623,0.184,5.733,0.934,0.5,61
5.35,12.38,7.13,7.04,0.98,0.26,0.13,2.3,0.28,3.0,53
4.54,9.57,4.38,8.18,0.45,0.24,0.16,2.24,0.52,0.5,46
5.5,10.46,8.67,12.6,2.17,0.52,0.29,3.03,0.32,0.5,64
5.29,1.19,12.31,10.89,1.26,0.47,0.11,2.5,0.21,15.0,45
6.75,3.032,85.99,76.47,8.117,4.714,0.616,13.67,2.642,3.0,82
4.5,2.81,1.65,10.04,1.19,0.34,0.12,5.45,0.2,0.5,41
8.09,1.83,38.62,6.04,16.17,1.06,0.13,17.4,0.62,0.5,59
8.25,0.81,11.67,2.49,44.34,2.26,0.37,47.13,0.62,0.5,65
7.27,2.012,545.7,2.81,8.835,3.28,1.056,13.24,0.419,0.5,81
7.72,3.81,203.44,3.22,34.87,2.21,0.34,37.09,0.43,0.5,81
5.31,2.69,104.25,21.43,2.05,0.39,0.47,3.83,0.28,0.5,59
7.21,0.93,38.63,23.78,7.46,2.66,0.17,10.8,0.52,0.5,70
6.75,18.02,8.403,64.78,33.15,11.43,6.23,51.91,1.29,0.5,85
6.43,3.463,2.145,4.677,15.31,4.996,0.303,20.67,0.317,0.5,83
5.66,8.979,2.991,6.177,4.867,2.467,1.152,8.535,0.209,3.0,80
7.81,1.762,339.4,121.7,14.04,9.128,0.905,25.06,1.734,0.5,74
4.93,1.311,1.935,4.511,0.871,0.365,0.111,3.505,0.16,0.5,37
4.83,0.95,7.56,1.75,0.73,0.1,0.045,1.96,0.11,0.5,37
6.82,0.695,11.46,3.808,3.672,1.042,0.31,5.125,0.121,0.5,67
7.52,1.049,81.62,5.664,9.023,4.934,0.607,14.78,0.313,3.0,76
4.519,6.014,75.16,4.343,0.947,0.177,0.045,4.01,0.301,0.5,53
5.44,5.805,10.17,4.47,3.92,0.495,0.292,5.829,0.637,0.5,61
8.01,2.401,70.94,2.392,8.236,1.233,0.377,9.913,0.221,0.5,62
8.19,1.67,13.8,4.774,15.5,10.11,0.259,26.24,0.358,0.5,64
5.19,2.91,1.29,3.8,6.45,4.28,0.25,12.09,0.29,15.0,66
4.27,3.88,7.49,8.15,0.33,0.22,0.09,2.68,0.29,0.5,36
6.25,0.1,16.99,2.95,1.88,0.45,0.11,2.48,0.05,0.5,50
6.43,3.392,14.28,7.5,16.62,2.067,0.389,19.17,0.31,7.5,86
4.44,0.98,0.645,2.82,0.28,0.09,0.045,3.01,0.07,0.5,32
5.05,4.5,1.935,10.12,4.81,1.86,0.24,7.72,0.23,3.0,63
6.38,4.21,3.59,4.03,6.04,1.57,0.19,7.88,0.16,7.5,68
8.36,2.19,17.29,6.93,65.62,7.28,0.6,73.68,0.65,0.5,67
5.66,2.881,3.926,4.497,8.865,3.018,0.183,12.16,0.27,0.5,73
6.05,12.96,10.13,12.54,10.2,0.56,0.23,10.33,0.42,0.5,80
7.14,7.95,11.46,4.1,17.11,11.4,0.59,29.18,0.21,0.5,87
5.66,4.282,2.369,9.039,1.609,0.472,0.111,2.227,0.06,3.0,51
4.099,3.678,4.751,3.837,0.25,0.379,0.114,3.049,1.049,0.5,31
6.21,2.925,30.32,6.556,6.625,1.396,0.161,8.292,0.047,0.5,70
5.59,2.12,14.71,24.91,2.06,0.54,0.1,2.77,0.21,0.5,53
5.2,3.059,2.661,3.839,5.204,0.842,0.124,7.306,0.156,0.5,56
4.53,4.342,3.681,3.79,2.34,0.925,0.204,9.181,0.128,3.0,51
5.02,16.27,4.78,4.87,0.9,0.23,0.12,2.41,0.19,3.0,53
7.1,1.93,2.14,4.87,9.65,5.52,0.16,15.44,0.14,0.5,71
5.6,5.613,13.51,5.611,4.455,1.202,0.185,5.903,0.164,7.5,75
7.38,2.05,7.83,5.0,14.16,4.67,0.65,19.65,0.2,3.0,76
7.18,2.17,21.85,9.37,13.89,3.71,0.26,18.19,0.21,0.5,77
5.62,1.77,42.02,4.25,5.78,0.73,0.13,6.73,0.21,0.5,65
5.019,11.03,15.05,10.82,3.025,2.092,0.643,12.05,0.266,0.5,82
4.79,1.95,2.8,2.53,1.4,0.3,0.045,3.76,0.19,0.5,37
4.94,1.64,7.97,7.21,1.64,0.17,0.045,2.95,0.14,0.5,37
4.61,10.1,2.665,6.871,0.424,0.113,0.134,1.754,0.487,0.5,48
5.28,11.57,126.2,24.42,4.777,0.572,1.012,8.652,0.345,0.5,79
7.31,1.394,13.65,6.605,9.285,5.242,0.121,14.72,0.34,0.5,68
4.87,3.62,13.04,8.94,1.55,0.36,0.19,5.9,0.12,0.5,51
7.68,2.36,433.12,22.26,18.15,14.82,1.56,35.15,0.69,7.5,77
5.76,2.05,1.935,3.36,4.05,1.17,0.14,5.5,0.14,3.0,61
4.47,1.762,2.353,3.58,0.349,0.205,0.045,3.531,0.07,0.5,32
7.96,2.442,2.054,8.916,34.11,0.883,0.045,35.15,0.55,0.5,54
7.73,1.037,25.5,3.84,7.75,5.057,0.262,13.2,0.227,0.5,67
5.8,7.064,7.812,53.14,11.09,1.144,0.268,12.59,0.529,0.5,76
4.89,1.6,0.645,6.57,5.95,7.86,0.21,16.71,0.45,15.0,64
5.6,3.9,3.36,20.09,5.33,0.9,0.53,6.85,0.22,0.5,69
4.889,2.9,4.92,25.9,0.874,0.392,0.221,6.752,0.14,0.5,44
4.64,0.91,1.79,5.74,0.19,0.14,0.045,4.5,0.08,7.5,37
6.03,1.364,1.935,2.909,10.98,12.85,0.431,25.03,0.154,0.5,79
5.17,1.9,0.645,2.47,9.74,5.57,0.28,26.21,0.11,0.5,71
7.06,2.09,23.27,2.15,12.76,3.6,1.11,17.5,0.15,7.5,82
4.0,6.55,3.04,6.202,0.42,0.2,0.14,3.01,0.223,0.5,30
5.81,4.03,12.26,6.75,4.98,1.5,0.83,7.7,0.26,0.5,76
4.52,0.24,1.935,0.42,0.56,0.1,0.045,1.02,0.1,0.5,37
4.05,3.631,236.5,12.43,1.029,0.226,0.96,4.114,4.834,0.5,44
4.94,1.64,0.645,3.03,2.19,0.81,0.14,15.02,0.06,0.5,51
6.28,4.96,28.53,5.34,24.2,9.85,0.36,34.53,0.21,0.5,89
5.89,4.575,9.283,3.861,18.3,1.241,0.247,20.11,0.249,0.5,77
5.27,0.53,1.935,2.01,0.79,0.1,0.045,1.57,0.1,0.5,42
4.23,3.86,1.86,24.44,0.4,0.16,0.045,2.93,0.36,3.0,36
5.46,0.9,3.84,1.93,4.89,2.67,0.2,8.47,0.15,0.5,62
4.82,11.14,28.74,53.0,2.98,0.5,0.48,6.32,1.08,0.5,62
6.3,1.762,31.08,3.056,4.829,1.696,0.128,6.708,0.164,3.0,67
4.92,2.43,0.645,2.31,0.42,0.2,0.045,4.05,0.05,0.5,37
7.92,5.579,9.912,5.997,26.44,1.031,0.198,28.18,0.627,15.0,69
5.18,8.583,4.023,1.987,5.803,1.665,0.579,9.247,0.267,3.0,72
5.34,1.57,3.23,3.45,2.26,5.91,0.27,9.13,0.22,0.5,59
6.24,2.183,11.98,3.646,7.681,3.292,0.223,11.33,0.16,0.5,74
6.36,4.748,5.418,9.464,7.256,6.441,0.561,14.97,0.263,0.5,80
4.9,1.4,4.34,2.89,0.4,0.11,0.045,1.3,0.13,0.5,37
5.3,4.24,32.67,5.57,1.11,0.15,0.045,2.24,0.21,0.5,52
6.38,9.8,327.5,50.43,10.63,1.331,1.152,13.3,1.081,0.5,86
5.24,6.33,59.0,31.99,2.83,1.02,0.83,5.85,0.71,0.5,75
6.58,1.479,8.401,3.154,3.332,0.544,0.045,3.988,0.126,0.5,50
6.14,2.57,25.29,3.27,6.99,2.08,0.54,9.7,0.35,0.5,78
5.11,17.69,9.428,4.071,3.088,0.592,0.186,5.422,0.339,15.0,63
6.02,7.363,46.28,4.661,3.402,0.796,0.174,4.491,0.18,15.0,69
5.01,3.9,2.63,8.52,1.99,0.3,0.26,7.01,0.13,3.0,53
7.0,3.34,3.25,4.31,13.53,1.89,0.18,15.68,0.19,0.5,77
5.33,1.955,1.935,2.887,4.254,1.29,0.045,6.876,0.255,0.5,56
4.46,3.498,2.418,20.82,0.336,0.195,0.105,2.516,0.098,0.5,36
6.79,1.894,1.935,5.368,6.755,2.842,0.17,10.57,0.268,0.5,71
5.47,15.96,16.88,14.63,3.445,0.493,0.398,4.372,0.2,3.0,65
4.12,2.21,3.33,2.47,0.77,0.23,0.045,3.68,0.37,0.5,32
7.96,2.519,0.48,67.94,10.61,1.9,0.094,12.76,1.124,0.5,52
5.57,15.5,40.52,17.84,11.95,2.544,1.041,15.65,0.58,0.5,98
5.18,9.217,32.36,4.618,2.246,0.791,0.326,5.067,0.537,3.0,67
4.67,1.69,1.935,4.12,0.61,0.1,0.11,3.74,0.12,7.5,37
5.69,17.97,232.6,5.771,3.704,1.201,1.8,6.836,0.426,0.5,85
7.98,2.55,41.41,6.202,40.83,5.18,1.26,47.47,0.223,0.5,69
4.77,2.23,1.935,1.81,0.295,0.1,0.045,3.75,0.05,7.5,37
7.07,0.19,20.89,1.34,2.14,0.82,0.045,3.07,0.09,0.5,51
5.5,13.53,18.54,7.431,7.201,0.534,0.12,8.717,0.252,3.0,71
5.09,21.35,5.367,18.44,1.837,0.615,0.412,4.352,0.85,7.5,57
6.27,3.911,14.19,2.589,3.207,1.665,0.611,5.511,0.237,7.5,73
6.48,2.4,60.06,6.74,4.44,1.23,0.84,6.59,0.34,7.5,77
6.35,1.33,15.41,10.1,3.77,1.23,0.045,5.14,0.11,0.5,61
4.93,9.027,7.906,12.11,9.082,5.31,0.255,16.41,0.401,0.5,74
4.58,4.22,8.403,6.99,1.95,0.53,0.2,5.44,0.46,0.5,46
4.559,6.361,26.28,4.796,2.66,0.473,0.218,7.047,0.466,0.5,61
5.38,4.144,1.935,5.392,9.495,4.367,0.465,14.74,0.21,7.5,75
5.79,11.08,32.87,10.86,9.21,1.81,0.73,11.9,0.44,0.5,92
5.46,3.76,2.18,1.65,4.46,1.88,0.13,6.84,0.11,0.5,60
8.4,2.07,43.52,7.4,22.6,9.93,0.8,32.92,0.25,0.5,74
5.58,17.26,2.8,2.63,4.5,0.76,0.48,5.89,0.34,3.0,74
6.19,1.611,7.187,9.122,8.049,5.057,0.387,13.62,0.285,3.0,76
4.5,4.451,3.635,3.925,0.686,0.277,0.156,3.072,0.085,7.5,44
5.9,1.41,1.935,3.08,6.973,2.682,0.155,9.951,0.211,0.5,67
4.8,1.675,1.935,0.177,0.715,0.285,0.045,2.133,0.137,0.5,37
5.84,1.009,6.168,27.27,4.681,0.643,0.163,5.617,0.51,0.5,58
5.12,1.43,8.403,2.14,1.39,0.48,0.11,3.17,0.17,0.5,40
